hexsha,patch,summary,author
56b88b50565c,https://github.com/torvalds/linux/commit/56b88b50565c,ALSA: pcm: Move rwsem lock inside snd_ctl_elem_read to prevent UAF,Clement Lecigne
142e821f68cf,https://github.com/torvalds/linux/commit/142e821f68cf,iommu/mediatek-v1: Fix an error handling path in mtk_iommu_v1_probe(),Christophe JAILLET
dcdb3ba7e2a8,https://github.com/torvalds/linux/commit/dcdb3ba7e2a8,iommu/iova: Fix alloc iova overflows issue,Yunfei Wang
32ea2c57dc21,https://github.com/torvalds/linux/commit/32ea2c57dc21,iommu/arm-smmu-v3: Don't unregister on shutdown,Vladimir Oltean
ac9c5e92dd15,https://github.com/torvalds/linux/commit/ac9c5e92dd15,iommu/arm-smmu: Report IOMMU_CAP_CACHE_COHERENCY even betterer,Robin Murphy
92a9c0ad86d4,https://github.com/torvalds/linux/commit/92a9c0ad86d4,ALSA: usb-audio: Fix possible NULL pointer dereference in snd_usb_pcm_has_fixed_rate(),Jaroslav Kysela
ccb32e2be142,https://github.com/torvalds/linux/commit/ccb32e2be142,platform/x86/amd: Fix refcount leak in amd_pmc_probe,Miaoqian Lin
b0907cadabca,https://github.com/torvalds/linux/commit/b0907cadabca,md: fix incorrect declaration about claim_rdev in md_import_device,Adrian Huang
01fd7e7851ba,https://github.com/torvalds/linux/commit/01fd7e7851ba,platform/x86: asus-wmi: Don't load fan curves without fan,Thomas Weißschuh
17eee264ef38,https://github.com/torvalds/linux/commit/17eee264ef38,phy: usb: sunplus: Fix potential null-ptr-deref in sp_usb_phy_probe(),Shang XiaoJing
c965daac370f,https://github.com/torvalds/linux/commit/c965daac370f,platform/surface: aggregator: Add missing call to ssam_request_sync_free(),Maximilian Luz
040b35c19bf2,https://github.com/torvalds/linux/commit/040b35c19bf2,drm/ttm: Fix a regression causing kernel oops'es,Zack Rusin
97f5e03a4a27,https://github.com/torvalds/linux/commit/97f5e03a4a27,bnxt: make sure we return pages to the pool,Jakub Kicinski
e752e5454e64,https://github.com/torvalds/linux/commit/e752e5454e64,adreno: Shutdown the GPU properly,Joel Fernandes (Google)
6b35b173dbc1,https://github.com/torvalds/linux/commit/6b35b173dbc1,spi: spidev: remove debug messages that access spidev->spi without locking,Bartosz Golaszewski
b0e380b5d427,https://github.com/torvalds/linux/commit/b0e380b5d427,net: lan966x: check for ptp to be enabled in lan966x_ptp_deinit(),Clément Léger
a6941f89d7c6,https://github.com/torvalds/linux/commit/a6941f89d7c6,drm/amdkfd: Fix NULL pointer error for GC 11.0.1 on mGPU,Eric Huang
d3de5616d364,https://github.com/torvalds/linux/commit/d3de5616d364,drm/i915/gt: Reset twice,Chris Wilson
6049aae52392,https://github.com/torvalds/linux/commit/6049aae52392,PM: AVS: qcom-cpr: Fix an error handling path in cpr_probe(),Christophe JAILLET
3bd68b32c911,https://github.com/torvalds/linux/commit/3bd68b32c911,drm/amdgpu: fix pipeline sync v2,Christian König
0afec5e9cea7,https://github.com/torvalds/linux/commit/0afec5e9cea7,RDMA/core: Fix ib block iterator counter overflow,Yonatan Nachum
09113abfb6ba,https://github.com/torvalds/linux/commit/09113abfb6ba,nvme-pci: fix error handling in nvme_pci_enable(),Tong Zhang
9828994ac492,https://github.com/torvalds/linux/commit/9828994ac492,net/mlx5e: Fix macsec possible null dereference when updating MAC security entity (SecY),Emeel Hakim
f5e1ed04aa2e,https://github.com/torvalds/linux/commit/f5e1ed04aa2e,net/mlx5e: Fix macsec ssci attribute handling in offload path,Emeel Hakim
3099d2e62f90,https://github.com/torvalds/linux/commit/3099d2e62f90,net/mlx5e: Fix memory leak on updating vport counters,Aya Levin
2414c9b7a29d,https://github.com/torvalds/linux/commit/2414c9b7a29d,"net/mlx5e: TC, ignore match level for post meter rules",Oz Shlomo
08f0adb193c0,https://github.com/torvalds/linux/commit/08f0adb193c0,cpufreq: armada-37xx: stop using 0 as NULL pointer,Miles Chen
52531258318e,https://github.com/torvalds/linux/commit/52531258318e,drm/virtio: Fix GEM handle creation UAF,Rob Clark
40543b3d9d2c,https://github.com/torvalds/linux/commit/40543b3d9d2c,ice: Add check for kzalloc,Jiasheng Jiang
f58985620f55,https://github.com/torvalds/linux/commit/f58985620f55,ice: Fix potential memory leak in ice_gnss_tty_write(),Yuan Can
99f1a36c90a7,https://github.com/torvalds/linux/commit/99f1a36c90a7,drm/amdgpu: Fixed bug on error when unloading amdgpu,YiPeng Chai
0be7ed8e7eb1,https://github.com/torvalds/linux/commit/0be7ed8e7eb1,drm/amdgpu: Fix potential NULL dereference,Luben Tuikov
afce71ff6daa,https://github.com/torvalds/linux/commit/afce71ff6daa,drm/i915: Fix potential context UAFs,Rob Clark
78a4471fa1a7,https://github.com/torvalds/linux/commit/78a4471fa1a7,i2c: mxs: suppress probe-deferral error message,Stefan Wahren
f71eaf2708be,https://github.com/torvalds/linux/commit/f71eaf2708be,bus: sunxi-rsb: Fix error handling in sunxi_rsb_init(),Yuan Can
ea44242bbfcd,https://github.com/torvalds/linux/commit/ea44242bbfcd,scsi: hisi_sas: Fix tag freeing for reserved tags,Jason Yan
599d41fb8ea8,https://github.com/torvalds/linux/commit/599d41fb8ea8,"soc: qcom: apr: Make qcom,protection-domain optional again",Stephan Gerhold
41cc108b2451,https://github.com/torvalds/linux/commit/41cc108b2451,drm/amdgpu: fix missing dma_fence_put in error path,Christian König
ed21f6c3fe42,https://github.com/torvalds/linux/commit/ed21f6c3fe42,drm/amdgpu: fix another missing fence reference in the CS code,Christian König
